Treatment Title,Treatment Details,Treatment Stage,Treatment Type,Risk Category,Risk Location,Element Type,Risk Factor,Construction Scope,Associated Activity
Follow permit to strike before removing props,,"Site work, Temp Works, Change control",Control by subsequent design,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
Quality check on reinforcement,,"Site work, Temp Works, Change control",Control by subsequent design,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
Carry out inspections to ensure defects on formwork are identified and corrected,,"Site work, Temp Works, Change control",Control by subsequent design,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
Consider use of loading bay as an alternative to canti-deck,,Preliminary Design,Eliminate,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Consider opennings within floor as alternative to canti-deck,,Detail Design,Eliminate,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Assess upward loads in slabs created by loaded canti-deck,,Detail Design,Reduce,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Optimise the delivery schedule to reduce canti-deck using time,,Detail Design,Reduce,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Assess opennings in slabs to ensure that a canti-deck can be used,,Detail Design,Inform,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Assess unusual or heavy loads against manufacturer's capacity,,Pre construction,Control by subsequent design,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Ensure that the canti-deck is only used in agreed locations where engineering assessment has been done,,Pre construction,Control by subsequent design,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Ensure that only competent riggers install a cantideck according to manufacturer's guidelines,,Pre construction,Control by subsequent design,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Ensure inspection routine is in place,,"Site work, Temp Works, Change control",Control by subsequent design,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Monitor canti-deck loads digitally,,"Site work, Temp Works, Change control",Control by subsequent design,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Ensure a safe system of work is in place to inform all users,,"Site work, Temp Works, Change control",Inform,Trapped-Unintended collapse,High Level-Near Edge,Temporary structure,Physical-Collapse,"General civil engineering, including small works",Install construction
Ensure detail assessment of access needs for the operational facility and site at all stages,,Preliminary Design,Inform,Struck-By moving vehicle,Site logistics-Traffic route,Temporary structure,Physical-Contact with moving vehicle,Site Layout,Install construction
"Ensure that there is a detailed risk study to evaluate deliveries, lifting operations and use of hoists",,Preliminary Design,Inform,Struck-By moving vehicle,Site logistics-Traffic route,Temporary structure,Physical-Contact with moving vehicle,Site Layout,Install construction
Create a temporary deck for hoist,,Detail Design,Eliminate,Struck-By moving vehicle,Site logistics-Traffic route,Temporary structure,Physical-Contact with moving vehicle,Site Layout,Install construction
Produce a detailed plan of permanent and temporary routes,,Detail Design,Control by subsequent design,Struck-By moving vehicle,Site logistics-Traffic route,Temporary structure,Physical-Contact with moving vehicle,Site Layout,Install construction
Assess the risk of placing the hoist adjacent to stair access and the possibility of both of them being impacted by a collision,,Detail Design,Inform,Struck-By moving vehicle,Site logistics-Traffic route,Temporary structure,Physical-Contact with moving vehicle,Site Layout,Install construction
Relocation of alternative escape routes away traffic routes,,Pre construction,Reduce,Struck-By moving vehicle,Site logistics-Traffic route,Temporary structure,Physical-Contact with moving vehicle,Site Layout,Install construction
Ensure there are temporary diversions in place,,Pre construction,Control by subsequent design,Struck-By moving vehicle,Site logistics-Traffic route,Temporary structure,Physical-Contact with moving vehicle,Site Layout,Install construction
Use physical barriers to prevent vehicles making contact,,"Site work, Temp Works, Change control",Reduce,Struck-By moving vehicle,Site logistics-Traffic route,Temporary structure,Physical-Contact with moving vehicle,Site Layout,Install construction
"Ensure that there are appropriate exclusion zones, crossings, barriers, and other control measures",,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By moving vehicle,Site logistics-Traffic route,Temporary structure,Physical-Contact with moving vehicle,Site Layout,Install construction
Position construction work away from the exclusion zone of pipes,,Preliminary Design,Reduce,Event-Fire or explosion,Site logistics-Traffic route,UG gas pipe,Physical-Gas release and ignition,Access (onto and within site),Install construction
Review with the gas distribution company to ensure that appropriate methods of protection are incoporated within the design,,Preliminary Design,Control by subsequent design,Event-Fire or explosion,Site logistics-Traffic route,UG gas pipe,Physical-Gas release and ignition,Access (onto and within site),Install construction
Carry out a GPR survey to determine location and depth of pipes,,Preliminary Design,Inform,Event-Fire or explosion,Site logistics-Traffic route,UG gas pipe,Physical-Gas release and ignition,Access (onto and within site),Install construction
Arrange for permanent on surface signage to mark gas pipes position,,Pre construction,Inform,Event-Fire or explosion,Site logistics-Traffic route,UG gas pipe,Physical-Gas release and ignition,Access (onto and within site),Install construction
Inspect the gas pipe route regularly,,"Site work, Temp Works, Change control",Inform,Event-Fire or explosion,Site logistics-Traffic route,UG gas pipe,Physical-Gas release and ignition,Access (onto and within site),Install construction
Consider alternative lighting solutions not requiring access at height,,Detail Design,Eliminate,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Consider using optic fibre solutions that eliminate light fittings at high levels,,Detail Design,Eliminate,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Consider solutions that can lower lightings automatically,,Detail Design,Reduce,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Consider type and number of light fittings to reduce the amount of times they need to be replaced,,Detail Design,Reduce,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Consider leveraging daylight to increase the lifetime of light bulbs,,Detail Design,Reduce,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Check design to ensure all light fittings are accesible for maintenance,,Detail Design,Control by subsequent design,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Ensure any MEWP utilised adheres to best design practice guidelines,,Detail Design,Inform,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Assess access routes (check doors width) and floor loadings to ensure a MEWP of the correct size can be used,,Pre construction,Control by subsequent design,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Provide appropriate method statements for maintenance of lighting,,Pre construction,Inform,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Provide adequate working at height access,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Use harness to control the risk of falling from the platform (method statement),,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From MEWP (Mobile Elevated Working Platform),Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Consider alternative lighting solutions not requiring access at height,,Detail Design,Eliminate,Struck-By falling object,Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Consider solutions that can lower lightings automatically,,Detail Design,Reduce,Struck-By falling object,Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Consider type and number of light fittings to reduce the amount of times they need to be replaced,,Detail Design,Reduce,Struck-By falling object,Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Consider leveraging daylight to increase the lifetime of light bulbs,,Detail Design,Reduce,Struck-By falling object,Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Check design to ensure all light fittings are accesible for maintenance,,Detail Design,Control by subsequent design,Struck-By falling object,Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Ensure that any MEWP utilised adheres to design best practice guidelines,,Detail Design,Inform,Struck-By falling object,Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Inform installers and maintenance team of need to prevent falling objects during installation/maintenance,,Pre construction,Inform,Struck-By falling object,Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Provision of tethers to all tools and materials,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Mandatory use of tethers/magnetised holders on all tools,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Create exclusion zone for people underneath,,"Site work, Temp Works, Change control",Inform,Struck-By falling object,Mobile plant-MEWP (Mobile Elevated Working Platform),Ceiling,Task-MEWP (Mobile Elevated Working Platform),Electrical services,Maintenance
Consider locating plant room at ground level if possible,,Preliminary Design,Eliminate,Struck-By falling object,Site logistics-Crane area,Mechanical equipment,Physical-Weight,Mechanical services,Maintenance
Design plant in modular systems to minimise size and weight,,Preliminary Design,Reduce,Struck-By falling object,Site logistics-Crane area,Mechanical equipment,Physical-Weight,Mechanical services,Maintenance
Design plant to require minimal large item replacement,,Preliminary Design,Reduce,Struck-By falling object,Site logistics-Crane area,Mechanical equipment,Physical-Weight,Mechanical services,Maintenance
Consider alternative methods to transport plant equipment to plant room (e.g. use crane or internal hoist),,Detail Design,Reduce,Struck-By falling object,Site logistics-Crane area,Mechanical equipment,Physical-Weight,Mechanical services,Maintenance
Consider designing roof hatches to ensure that all the elements that need replacement can be lifted into place through it,,Detail Design,Control by subsequent design,Struck-By falling object,Site logistics-Crane area,Mechanical equipment,Physical-Weight,Mechanical services,Maintenance
Create exclusion zone underneath crane area,,Pre construction,Inform,Struck-By falling object,Site logistics-Crane area,Mechanical equipment,Physical-Weight,Mechanical services,Maintenance
Ensure that weight to be lifted is within the crane's capacity,,Pre construction,Inform,Struck-By falling object,Site logistics-Crane area,Mechanical equipment,Physical-Weight,Mechanical services,Maintenance
Ensure the correct use of lifting accessories,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,Site logistics-Crane area,Mechanical equipment,Physical-Weight,Mechanical services,Maintenance
Ensure that a competent lifting team is allocated to each crane,,"Site work, Temp Works, Change control",Inform,Struck-By falling object,Site logistics-Crane area,Mechanical equipment,Physical-Weight,Mechanical services,Maintenance
Consider windows that can be cleaned from the inside,,Preliminary Design,Eliminate,Struck-By falling object,Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Consider electrical solution to clean windows automatically,,Detail Design,Eliminate,Struck-By falling object,Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Pre use checks to ensure BMU is in safe condition to use,,Pre construction,Control by subsequent design,Struck-By falling object,Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Working at height strategy to be agreed prior to starting cleaning operations to ensure all operatives are qualified and trained to use appropriate tools at height,,Pre construction,Inform,Struck-By falling object,Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
A working at height permit to work should be used to introduce the necessary hold points and checks prior to any operations,,Pre construction,Inform,Struck-By falling object,Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
A working at height permit to work should be used to introduce the necessary hold points ,,Pre construction,Inform,Struck-By falling object,Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Mandatory use of tethers on all tools,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Mandatory use of tethers/magnetised holders on all tools,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Method statements to take account of weather and environmental conditions,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Create an exclusion zone for people underneath,,"Site work, Temp Works, Change control",Inform,Struck-By falling object,Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Consider windows that can be cleaned from the inside,,Preliminary Design,Eliminate,Fall-Collapse of BMU (Building Maintenance Unit),Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Consider solutions that eliminate the need for a person to work at height (e.g. using water fed poles from balconies),,Detail Design,Eliminate,Fall-Collapse of BMU (Building Maintenance Unit),Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
"Pre use checks to ensure that all winches, cables and fixings are in good condition and fitted according to manufacturer specifications",,Pre construction,Control by subsequent design,Fall-Collapse of BMU (Building Maintenance Unit),Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Working at height strategy to be agreed prior to any cleaning operations to ensure all operatives are qualified and trained to use the elevation platform,,Pre construction,Inform,Fall-Collapse of BMU (Building Maintenance Unit),Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
A working at height permit to work should be used to introduce the necessary hold points and checks prior to any operations,,Pre construction,Inform,Fall-Collapse of BMU (Building Maintenance Unit),Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Method statements to take account of weather and environmental conditions,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-Collapse of BMU (Building Maintenance Unit),Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Safety tests and maintenance schedule according to manufacturer,,"Site work, Temp Works, Change control",Inform,Fall-Collapse of BMU (Building Maintenance Unit),Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Create an exclusion zone for people underneath to ensure that impact zone is kept clear,,"Site work, Temp Works, Change control",Inform,Fall-Collapse of BMU (Building Maintenance Unit),Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Monitor weather conditions and safe working loads,,"Site work, Temp Works, Change control",Inform,Fall-Collapse of BMU (Building Maintenance Unit),Mobile plant-BMU (Building Maintenance Unit),Window,Task-Cleaning glazing/window,Windows/glazing including windows cleaning,Maintenance
Acoustic specialist to carry out risk study to understand best options to reducing noise in the plant room by design,,Preliminary Design,Reduce,Mechanical Effect-Noise,Site work area-Plant room,Mechanical equipment,Task-Cleaning machinery,Mechanical services,Maintenance
Consider new alternative equipment with less noise,,Detail Design,Reduce,Mechanical Effect-Noise,Site work area-Plant room,Mechanical equipment,Task-Cleaning machinery,Mechanical services,Maintenance
Design Plant rooms with acoustic enclosure,,Detail Design,Control by subsequent design,Mechanical Effect-Noise,Site work area-Plant room,Mechanical equipment,Task-Cleaning machinery,Mechanical services,Maintenance
Select Plant that includes acoustic enclosure and anti-vibration mounts,,Detail Design,Control by subsequent design,Mechanical Effect-Noise,Site work area-Plant room,Mechanical equipment,Task-Cleaning machinery,Mechanical services,Maintenance
Select Plant to meet atmospheric noise limits,,Detail Design,Control by subsequent design,Mechanical Effect-Noise,Site work area-Plant room,Mechanical equipment,Task-Cleaning machinery,Mechanical services,Maintenance
Consider use of mobile noise screens to protect workers from noisy areas,,Pre construction,Control by subsequent design,Mechanical Effect-Noise,Site work area-Plant room,Mechanical equipment,Task-Cleaning machinery,Mechanical services,Maintenance
Construction equipment and temporary sources of noise to be assessed and reduced as far as possible,,"Site work, Temp Works, Change control",Reduce,Mechanical Effect-Noise,Site work area-Plant room,Mechanical equipment,Task-Cleaning machinery,Mechanical services,Maintenance
Provide safety equipment where required (ear defenders),,"Site work, Temp Works, Change control",Control by subsequent design,Mechanical Effect-Noise,Site work area-Plant room,Mechanical equipment,Task-Cleaning machinery,Mechanical services,Maintenance
Designate and clearly signpost areas of noisy work,,"Site work, Temp Works, Change control",Inform,Mechanical Effect-Noise,Site work area-Plant room,Mechanical equipment,Task-Cleaning machinery,Mechanical services,Maintenance
Architect to review options for guard rail solutions for safety,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Guard rail,Physical-Edge,External Cladding,Install construction
Review walking surfaces on open roof terraces where pedestrians would gather,,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Guard rail,Physical-Edge,External Cladding,Install construction
Design and manufacture guard rail with the correct standards,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Guard rail,Physical-Edge,External Cladding,Install construction
Introduce Working at Perimeter Edge Safety Procedure,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Guard rail,Physical-Edge,External Cladding,Install construction
Contractor to ensure suitable edge protection and fall arrest during installation and construction,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Guard rail,Physical-Edge,External Cladding,Install construction
Contractor to be informed of the need for a WAPE training,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Guard rail,Physical-Edge,External Cladding,Install construction
PC to ensure competent contractor installs guard rail,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Guard rail,Physical-Edge,External Cladding,Install construction
Allow access to installation with an exclusion zone to WAPE trained personal,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Edge,Guard rail,Physical-Edge,External Cladding,Install construction
Inform client that no furniture that could be used as a step up or ladder to be placed alongside guard rail,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Guard rail,Physical-Edge,External Cladding,Install construction
Ensure that a proper structural analysis is carried out to determine limits of the proposed structure,,Preliminary Design,Eliminate,Trapped-Unintended collapse,Site work area-Structure,Frame/beam,Physical-Collapse,Stability and erection of structural steelwork,Install construction
Consider a design that doesn't require a tower crane,,Preliminary Design,Eliminate,Struck-By machinery or part,Site logistics-Crane area,Frame/beam,Task-Site Management,Stability and erection of structural steelwork,Install construction
Consider modular design to reduce the need of lifting,,Preliminary Design,Reduce,Struck-By machinery or part,Site logistics-Crane area,Frame/beam,Task-Site Management,Stability and erection of structural steelwork,Install construction
Ensure all large units are placed away from the edges of the building,,Detail Design,Reduce,Struck-By machinery or part,Site logistics-Crane area,Frame/beam,Task-Site Management,Stability and erection of structural steelwork,Install construction
Ensure there is a detail plan for sequence of erection of structure,,Detail Design,Inform,Struck-By machinery or part,Site logistics-Crane area,Frame/beam,Task-Site Management,Stability and erection of structural steelwork,Install construction
Produce a 4D for all complex lifts,,Detail Design,Inform,Struck-By machinery or part,Site logistics-Crane area,Frame/beam,Task-Site Management,Stability and erection of structural steelwork,Install construction
Consider changing the type/height of the tower crane,,Pre construction,Reduce,Struck-By machinery or part,Site logistics-Crane area,Frame/beam,Task-Site Management,Stability and erection of structural steelwork,Install construction
Consider using a restrictor on the crane movement,,Pre construction,Control by subsequent design,Struck-By machinery or part,Site logistics-Crane area,Frame/beam,Task-Site Management,Stability and erection of structural steelwork,Install construction
Plan detailed delivery schedule. Make provision for adjustments,,Pre construction,Inform,Struck-By machinery or part,Site logistics-Crane area,Frame/beam,Task-Site Management,Stability and erection of structural steelwork,Install construction
Ensure that a competent lifting team is allocated to each crane,,"Site work, Temp Works, Change control",Inform,Struck-By machinery or part,Site logistics-Crane area,Frame/beam,Task-Site Management,Stability and erection of structural steelwork,Install construction
Ensure that there is a safety plan to prevent materials falling due to high winds,,Pre construction,Control by subsequent design,Struck-By falling object,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction
Housekeeping checks at roof level,,"Site work, Temp Works, Change control",Reduce,Struck-By falling object,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction
Remove any loose items,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction
Strap down materials to avoid being blown by wind,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction
Avoid holes - consider alternatives to achieve design purposes.,,Preliminary Design,Eliminate,Fall-From open edge,Site work area-MEP Instalation,Slab,Physical-Opening,General concrete,Install construction
Install GRP or similar system to cover any voids for subsequent MEP installation,,Detail Design,Eliminate,Fall-From open edge,Site work area-MEP Instalation,Slab,Physical-Opening,General concrete,Install construction
Every temporary floor opening shall be constantly attended by someone.,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,Site work area-MEP Instalation,Slab,Physical-Opening,General concrete,Install construction
Ensure that a proper structural analysis is carried out to determine limits of the proposed structure including MEP equipment loads,,Preliminary Design,Eliminate,Trapped-Unintended collapse,High Level - Structures,Flat roof,Physical-Collapse,Mechanical services,Not Applicable
Inspect soil as it is excavated and stop if any unkown material is found,,"Site work, Temp Works, Change control",Control by subsequent design,Material Effect-Asbestos,Site logistics-Excavation area,Raft foundation,Material-Asbestos,General excavation,Install construction
Glass to be designed and tested for maintenance load,,Detail Design,Control by subsequent design,Fall-through fragile material,High Level-Near Opening,Glass skylight,Physical-Fragile,Roof coverings and finishes,Maintenance
Consider options for asbestos removal or treatment to enable the project work to continue without risk,,Preliminary Design,Eliminate,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
"Review the ceiling structure (e.g. services, rooflights, air conditioning, etc) in order to identify any hidden risks associated with asbestos materials in the ceiling",,Preliminary Design,Reduce,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
"Ask the owner to provide an asbestos register, and management plan. Carry out a desktop survey and if necessary follow up with an asbestos survey",,Preliminary Design,Inform,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Evaluate the type of asbestos present to decide on appropriate remediation methods,,Preliminary Design,Inform,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
"Update asbestos register after removing, treating or identifying asbestos",,Preliminary Design,Inform,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Carry out a refurbishment and demolition (R&D) survey prior to construction work,,Preliminary Design,Inform,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Produce a report on asbestos findings and ensure it is submitted to the relevant stakeholders,,Preliminary Design,Inform,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Ensure that the design team have the knowledge and skill to manage the problem,,Preliminary Design,Inform,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Design review to review impacts of any discovery of asbestos and how to manage communications with the client,,Detail Design,Reduce,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Consider applying non-intrusive encapsulation to any contaminated sheet,,Detail Design,Control by subsequent design,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Look at potential people at risk and type and severity of exposure to inform construction work,,Detail Design,Inform,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Seal the area to restrict access of unauthorised people,,Pre construction,Control by subsequent design,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Protect nearby areas with polythene sheeting or a mini-enclosure,,Pre construction,Control by subsequent design,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Ensure there is a proper induction and emergency procedures for inadvertant discovery of asbestos,,Pre construction,Inform,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Ensure that competent advice is obtained on whether work should be carried out by an HSE-licensed contractor,,Pre construction,Inform,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Use approve techniques to control dust when carrying out work,,"Site work, Temp Works, Change control",Control by subsequent design,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
Ensure there is a proper procedure for handing over asbestos risk information informing the management plan,,"Site work, Temp Works, Change control",Inform,Material Effect-Asbestos,Site logistics-Confined area,Ceiling,Material-Asbestos,Refurbishment of existing buildings,"Demolition, removal"
"Plan at preliminary design stage for adequate compartmentation, and fire  alarms",,Preliminary Design,Inform,Event-Fire or explosion,Site work area,Timber frame,Timber flammable,Timber,Install construction
Produce a written fire safety plan,,Pre construction,Inform,Event-Fire or explosion,Site work area,Timber frame,Timber flammable,Timber,Install construction
"Carry out  checks, inspections and tests throughout the construction of the site",,"Site work, Temp Works, Change control",Control by subsequent design,Event-Fire or explosion,Site work area,Timber frame,Timber flammable,Timber,Install construction
Client duty to evaluate risks from high and extensive scaffold works,,Preliminary Design,Inform,Fall-Collapse of scaffold,High Level-Scaffolds,Temporary structure,Task-Scaffold,Temporary works,Install construction
"Carry out a risk study to identify areas where scaffolding works can be reduced or eliminated by permanaent works design, use of MMC, other access technologies etc.",,Preliminary Design,Inform,Fall-Collapse of scaffold,High Level-Scaffolds,Temporary structure,Task-Scaffold,Temporary works,Install construction
Consider using a mast climber working platform instead of scaffolds,,Detail Design,Reduce,Fall-Collapse of scaffold,High Level-Scaffolds,Temporary structure,Task-Scaffold,Temporary works,Install construction
